image_path,question,answer
00/0036d764.jpg,What is the chain's color?,Gold
00/0036d764.jpg,What object is shown?,Necklace
00/003fe22d.jpg,What shape are the decorations?,Stars
00/003fe22d.jpg,What color is the sandal?,Mushroom
00/003fe22d.jpg,How many stars are gold?,Three
00/00426198.jpg,What is the shoe's color?,Brown
00/00426198.jpg,Are the shoes laced?,Yes
00/00426198.jpg,What is the shoe's material?,Suede
00/004eb4e3.jpg,What color is most prominent?,Red
00/004eb4e3.jpg,Are there water droplets?,Yes
00/004eb4e3.jpg,Is the phone case glossy?,Yes
00/005246c7.jpg,What color is the keyboard?,Black
00/005246c7.jpg,Is there a numpad present?,Yes
00/005246c7.jpg,What brand name is visible?,Amazonbasics
00/006842a2.jpg,What is the primary color of the eye?,Blue
00/006842a2.jpg,What animal is featured?,Lion
00/006842a2.jpg,Is the case patterned?,Yes
00/006e72c3.jpg,What is the necklace's color?,Yellow
00/006e72c3.jpg,What shape is the gem?,Round
00/006e72c3.jpg,Is the necklace long?,Yes
00/00736593.jpg,What color is the moon?,Red
00/00736593.jpg,What shape is the design?,Round
00/00736593.jpg,Is the case transparent?,Yes
00/00736593.jpg,What is the background color?,Black
00/00736593.jpg,Is there reflection visible?,Yes
00/007def3f.jpg,What animal is depicted?,Kitten
00/007def3f.jpg,What pattern covers the kitten?,Plaid
00/007def3f.jpg,What color are the kitten's eyes?,Green
00/00866d84.jpg,What is the shape of the main stone?,Square
00/00866d84.jpg,What is the setting's color?,Silver
00/00866d84.jpg,What item is shown?,Earrings
00/00880fde.jpg,What shape is repeated on the box?,Triangle
00/00880fde.jpg,What material is the box?,Fabric
00/00880fde.jpg,What color is the lid?,Blue
00/00888584.jpg,What color is the charger?,White
00/00888584.jpg,What shape is the charger?,Rectangular
00/00888584.jpg,How many USB-A ports are visible?,Four
00/0089c6c4.jpg,What is the color of the handbag?,Pink
00/0089c6c4.jpg,Is there a tassel?,Yes
00/0089c6c4.jpg,What shape is the handbag?,Rectangular
00/008d8905.jpg,What shape are the bulbs?,Candle
00/008d8905.jpg,What is the bulb color?,Clear
00/008d8905.jpg,How many bulbs?,Six
00/008f5b3c.jpg,What shape is the top?,Rectangular
00/008f5b3c.jpg,What material is used for shelves?,Wire
00/008f5b3c.jpg,How many hooks are visible?,Three
00/0095a196.jpg,What color is the album?,Pink
00/0095a196.jpg,What closure is featured?,Strap
00/0095a196.jpg,What shape are the corners?,Rounded
00/0098afed.jpg,What is the shape of the coffee table?,Square
00/0098afed.jpg,What color are the stools?,Beige
00/0098afed.jpg,What room is this furniture likely in?,Living
00/009c03fa.jpg,What color is the lampshade?,Grey
00/009c03fa.jpg,Is the base patterned?,Yes
00/009c03fa.jpg,What shape is the lampshade?,Cylindrical
00/00a69c51.jpg,What color is the humidifier's base?,Black
00/00a69c51.jpg,Is the water tank transparent?,Yes
00/00a69c51.jpg,What is the product brand?,Amazonbasics
00/00a7cd4c.jpg,What shape is the inner pillow?,Square
00/00a7cd4c.jpg,What color is the inner pillow?,White
00/00a7cd4c.jpg,What material is the outer sham?,Cotton
00/00a7cd4c.jpg,How many pillows are present?,One
00/00a7cd4c.jpg,What is the band's color?,Loden
00/00af9316.jpg,What color is the cup?,White
00/00af9316.jpg,Is the cup empty?,Yes
00/00af9316.jpg,What material is it?,Paper
00/00b02bf3.jpg,What color is the chair?,Black
00/00b02bf3.jpg,What shape are the chair's rollers?,Round
00/00b02bf3.jpg,How many armrests are visible?,Two
00/00bb2838.jpg,What color is the cooktop?,Black
00/00bb2838.jpg,What brand is visible?,Amazonbasics
00/00bb2838.jpg,What shape is the cooktop?,Square
00/00bb2838.jpg,How many warning symbols are visible?,Three
00/00bb2838.jpg,Are there control panels present?,Yes
00/00bc172c.jpg,What animal is featured?,Dog
00/00bc172c.jpg,What color is the dog?,White
00/00bc172c.jpg,Is there grass visible?,Yes
00/00c1e7fc.jpg,What color is the safe?,Black
00/00c1e7fc.jpg,What shape is the knob?,Oval
00/00c1e7fc.jpg,Is there a keypad?,Yes
00/00d75bf8.jpg,What color is the top rectangle?,Yellow
00/00d75bf8.jpg,What shape is the red section?,Square
00/00d75bf8.jpg,Is the case rectangular?,Yes
00/00dabefa.jpg,What material is this?,Fabric
00/00dabefa.jpg,What color is the swatch?,Oatmeal
00/00dabefa.jpg,What is the swatch's texture?,Smooth
00/00dabefa.jpg,Is the swatch patterned?,No
00/00dabefa.jpg,What is the style?,Farmhouse
00/00de81a7.jpg,What color is the phone case?,Black
00/00de81a7.jpg,Is there a circular pattern?,Yes
00/00de81a7.jpg,What shape are outside the circle?,Triangle
00/00e3e839.jpg,What color is the item?,Silver
00/00e3e839.jpg,What material is this?,Metal
00/00e3e839.jpg,Is it open?,Yes
00/00e3e839.jpg,Is it new?,Yes
00/00e3e839.jpg,What is it?,Clip
00/00e59f27.jpg,What color is the case?,Blue
00/00e59f27.jpg,What is the case design?,Bottle
00/00e59f27.jpg,Is the case hard?,Yes
00/00e59f27.jpg,What is the material?,Hard
00/00e59f27.jpg,Is the case 3D?,Yes
00/00e65c6a.jpg,What is the predominant color?,Gold
00/00e65c6a.jpg,What material is absent?,Leather
00/00e65c6a.jpg,Is the case shiny?,Yes
00/00ec7764.jpg,What is the handle's material?,Metal
00/00ec7764.jpg,What is the shape of the handle?,Bar
00/00ec7764.jpg,What is the screw's color?,Silver
00/00f0052f.jpg,What color is the mat?,Black
00/00f0052f.jpg,Is the mat perforated?,Yes
00/00f0052f.jpg,What shape is the mat?,Rectangular
00/00f0ccfe.jpg,What is the letter displayed?,O
00/00f0ccfe.jpg,What shape is around the letter?,Heart
00/00f0ccfe.jpg,What is the background color?,Black
00/00f687ce.jpg,What color is the shoe?,Black
00/00f687ce.jpg,What shape is the buckle?,Square
00/00f687ce.jpg,Is there a heel?,Yes
00/00fdf504.jpg,What animal is printed?,Tiger
00/00fdf504.jpg,What is the background color?,Green
00/00fdf504.jpg,Is the case glossy?,Yes
00/00fe55b1.jpg,What color is the top of the case?,Black
00/00fe55b1.jpg,Is there fire in the image?,Yes
00/00fe55b1.jpg,What material are the logs?,Wood
01/0101f232.jpg,What shape is the mirror?,Rectangular
01/0101f232.jpg,What color is the frame?,Brass
01/0101f232.jpg,Is the mirror vertical or horizontal?,Vertical
01/01043c28.jpg,What color is the table?,Wenge
01/01043c28.jpg,What type of flowers are shown?,White
01/01043c28.jpg,Is there a shelf?,Yes
01/010c3e4d.jpg,What animal is pictured?,Dog
01/010c3e4d.jpg,What color is the dog?,White
01/010c3e4d.jpg,What is the background color?,Green
01/0111ba12.jpg,What color is the mop?,Blue
01/0111ba12.jpg,What material is visible?,Microfiber
01/0111ba12.jpg,What shape are the mop ends?,Rounded
01/01136e35.jpg,What shape is prominent?,Heart
01/01136e35.jpg,Are there any flowers?,Yes
01/01136e35.jpg,What color is the word?,Purple
01/0114befb.jpg,What shape is primarily featured?,Heart
01/0114befb.jpg,What color is the heart?,Red
01/0114befb.jpg,Is grass visible?,Yes
01/011a2444.jpg,What is the shoe's closure?,Laces
01/011a2444.jpg,What color is the sole?,Black
01/011a2444.jpg,Is the shoe patterned?,Yes
01/011a5d76.jpg,What is the phone case's pattern?,Abstract
01/011a5d76.jpg,What is the prominent color?,Purple
01/011a5d76.jpg,Is there a logo?,Yes
01/011c5221.jpg,What color is the background?,Black
01/011c5221.jpg,What shape is the camera cutout?,Oval
01/011c5221.jpg,Is there a crown?,Yes
01/0123a2bd.jpg,What color are the towels?,White
01/0123a2bd.jpg,How many stacks exist?,Two
01/0123a2bd.jpg,Are towels stacked?,Yes
01/01240581.jpg,What is the heel's height?,Kitten
01/01240581.jpg,What pattern is visible?,Tweed
01/01240581.jpg,What type of shoe?,Pump
01/01289598.jpg,What building is centered?,Eiffel
01/01289598.jpg,What is the case's background?,Triangles
01/01289598.jpg,What color is bottom?,Purple
01/013240ce.jpg,What shape are the lights?,Round
01/013240ce.jpg,What color are the fixtures?,White
01/013240ce.jpg,How many rows are there?,Three
01/013240ce.jpg,Are there handles visible?,Yes
01/013240ce.jpg,What is the quantity?,Twelve
01/01360fee.jpg,What color are the handles?,Brown
01/01360fee.jpg,What is the bag's material?,Leather
01/01360fee.jpg,What pattern is on the bag?,Crisscross
01/01375b98.jpg,What color are the laces?,Brown
01/01375b98.jpg,What is the sole color?,White
01/01375b98.jpg,What is the shoe material?,Canvas
01/0138fb46.jpg,What material is the sole?,Cork
01/0138fb46.jpg,What is the sandal's color?,Silver
01/0138fb46.jpg,What is the shoe's type?,Sandal
01/0139684c.jpg,What color are the lids?,Red
01/0139684c.jpg,How many containers are visible?,Eight
01/0139684c.jpg,Are the containers round?,Yes
01/013de1eb.jpg,What color is the frame?,Black
01/013de1eb.jpg,Is the artwork botanical?,Yes
01/013de1eb.jpg,What color are the leaves?,Green
01/013eb3c9.jpg,What shape is the ottoman?,Round
01/013eb3c9.jpg,What color is the ottoman?,Gray
01/013eb3c9.jpg,Is the ottoman upholstered?,Yes
01/0148c352.jpg,What color is the backpack?,Black
01/0148c352.jpg,How many zippers are visible?,Two
01/0148c352.jpg,Is mesh visible on the shoulder straps?,Yes
01/014aeba8.jpg,How many grommets visible?,Twelve
01/014aeba8.jpg,What shape are containers?,Square
01/014aeba8.jpg,What is pattern color?,Gray
01/014ff0fa.jpg,What color are the sandals?,Black
01/014ff0fa.jpg,What type of shoe is this?,Sandal
01/014ff0fa.jpg,Are the straps elastic?,Yes
01/014ff0fa.jpg,What is material of strap?,Fabric
01/014ff0fa.jpg,Is shoe flat?,No
01/015571e1.jpg,What color is the handle?,Black
01/015571e1.jpg,What is the pan's primary color?,Red
01/015571e1.jpg,Is the pan round?,Yes
01/01559d83.jpg,What color is the filament?,Orange
01/01559d83.jpg,What brand is printed on the spool?,Amazonbasics
01/01559d83.jpg,What is the shape of the center hole?,Hexagonal
01/01560a06.jpg,What color are the doll's eyes?,Blue
01/01560a06.jpg,What type of clothing is the doll wearing?,Dress
01/01560a06.jpg,How many braids are visible?,Two
01/01568dab.jpg,What color is the hub?,Black
01/01568dab.jpg,How many USB ports are visible?,Four
01/01568dab.jpg,Is 'amazonbasics' visible?,Yes
01/0156d7a0.jpg,What is the case's border color?,White
01/0156d7a0.jpg,What background color is visible?,Green
01/0156d7a0.jpg,How many figures are on the bench?,Two
01/015d3abd.jpg,What color is the bracelet?,Black
01/015d3abd.jpg,What shape are the beads?,Round
01/015d3abd.jpg,How many beads are visible?,Nineteen
01/015ea20e.jpg,What color is the boot?,Burgundy
01/015ea20e.jpg,What type of footwear is this?,Boot
01/015ea20e.jpg,What is the boot's material?,Suede
01/015eff9a.jpg,What food item is pictured?,Donuts
01/015eff9a.jpg,What is the background color?,Maroon
01/015eff9a.jpg,What shape are the decorations?,Circular
01/01612f17.jpg,What color are the shoelaces?,Black
01/01612f17.jpg,What is the shoe material?,Leather
01/01612f17.jpg,What type of closure is present?,Laces
01/016329a5.jpg,What is the cable's color?,Grey
01/016329a5.jpg,What is branded on the connector?,Amazonbasics
01/016329a5.jpg,What shape is the connector end?,Rectangular
01/016bc043.jpg,What is the primary case material?,Hard
01/016bc043.jpg,What is the topmost color?,Red
01/016bc043.jpg,Is the case glossy?,Yes
01/016c9bd7.jpg,What color is the beanbag?,Blue
01/016c9bd7.jpg,What animal is printed on the beanbag?,Elephant
01/016c9bd7.jpg,How many colors are in the autorickshaw print?,Three
01/017ff8bb.jpg,What color is the cable?,Red
01/017ff8bb.jpg,What shape is the USB port?,Rectangular
01/017ff8bb.jpg,Is the cable braided?,Yes
01/0188e3ee.jpg,What is the shoe's closure?,Laces
01/0188e3ee.jpg,What is the sole's texture?,Ridged
01/0188e3ee.jpg,What is the shoe's material?,Suede
01/018a6006.jpg,What color are the laces?,Brown
01/018a6006.jpg,What is the boot's material?,Leather
01/018a6006.jpg,What type of closure present?,Laces
01/018a6006.jpg,What is the sole's shade?,Dark
01/018a6006.jpg,How many eyelets visible?,Two
01/018e4821.jpg,What color is predominant?,Pink
01/018e4821.jpg,How many hearts are visible?,Several
01/018e4821.jpg,Is the phone case glossy?,Yes
01/0194e39a.jpg,What color is the bookcase?,White
01/0194e39a.jpg,How many shelves are visible?,Two
01/0194e39a.jpg,Is there a storage bin present?,Yes
01/019b7e82.jpg,What color is the background?,Black
01/019b7e82.jpg,How many lenses are visible?,Two
01/019b7e82.jpg,Is the pattern symmetrical?,Yes
01/019d39b3.jpg,What color is the top?,Red
01/019d39b3.jpg,What shape is the object?,Round
01/019d39b3.jpg,What is the trim color?,Black
01/019f56d5.jpg,What color are most of the pebbles?,Blue
01/019f56d5.jpg,Is there any red visible?,Yes
01/019f56d5.jpg,What pattern is displayed?,Pebbles
01/01a15799.jpg,What color is the ottoman?,Grey
01/01a15799.jpg,What shape is the ottoman?,Rectangle
01/01a15799.jpg,What is below the bench?,Legs
01/01a9a902.jpg,What color is the case?,Black
01/01a9a902.jpg,Is the case 3D?,Yes
01/01a9a902.jpg,What shape are the patterns?,Teardrop
01/01aaba7a.jpg,What color is the cord?,White
01/01aaba7a.jpg,What shape is the cord coiled in?,Circle
01/01aaba7a.jpg,How many AC outlets are visible?,Six
01/01abcc42.jpg,What color is the dress?,Red
01/01abcc42.jpg,Is there a camera?,Yes
01/01abcc42.jpg,What is the background color?,Pink
01/01ac27d7.jpg,What pattern is displayed?,Leaves
01/01ac27d7.jpg,What is the case's color?,Red
01/01ac27d7.jpg,Is the case glossy?,No
01/01b1ee23.jpg,What color are the pillowcases?,Grey
01/01b1ee23.jpg,How many pillowcases exist?,Two
01/01b1ee23.jpg,What is the material appearing?,Microfiber
01/01b747d1.jpg,What color is the glass?,Clear
01/01b747d1.jpg,What kind of object is this?,Glass
01/01b747d1.jpg,How many glasses are shown?,One
01/01b9967b.jpg,What is the dominant color of the flowers?,Purple
01/01b9967b.jpg,What object is in the center?,Flowers
01/01b9967b.jpg,How many camera holes are visible?,Two
01/01bc562d.jpg,What is the shape of the gemstone?,Teardrop
01/01bc562d.jpg,What color is the stone?,Yellow
01/01bc562d.jpg,How many diamonds are visible?,Three
01/01c26462.jpg,What color are the table legs?,Brown
01/01c26462.jpg,What is on the desk?,Monitor
01/01c26462.jpg,What is next to the desk?,Plant
01/01c3a56a.jpg,What color is the towel?,Green
01/01c3a56a.jpg,Is the towel rolled?,Yes
01/01c3a56a.jpg,What shape is the towel?,Rectangular
01/01c50557.jpg,What color is the case?,Red
01/01c50557.jpg,What is visible on the case?,Number
01/01c50557.jpg,Is there a camera?,Yes
01/01c677e9.jpg,Is there a handle?,Yes
01/01c677e9.jpg,What is the primary color?,Silver
01/01c677e9.jpg,Is there a lid?,Yes
01/01d0256d.jpg,What fruit is featured?,Pomegranate
01/01d0256d.jpg,What's the background color?,Black
01/01d0256d.jpg,How many pomegranates?,Two
01/01d97619.jpg,What animal is the pendant?,Seahorse
01/01d97619.jpg,What color are the crystals?,Blue
01/01d97619.jpg,What is the chain's material?,Silver
01/01dbfa38.jpg,What shape is cut from the leaf?,Heart
01/01dbfa38.jpg,What color is the leaf?,Yellow
01/01dbfa38.jpg,Is the background grey?,Yes
01/01df4abc.jpg,What color is the bottle?,Transparent
01/01df4abc.jpg,What is on top?,Lid
01/01df4abc.jpg,What material is the lid?,Metal
01/01e1779d.jpg,What color is the background?,Black
01/01e1779d.jpg,What structure is depicted?,Tower
01/01e1779d.jpg,What is the tower's color?,Gold
01/01e8726f.jpg,What material is the case?,Plastic
01/01e8726f.jpg,What color is the top stripe?,Red
01/01e8726f.jpg,What direction are the stripes?,Diagonal
01/01ec457f.jpg,What letter is displayed?,J
01/01ec457f.jpg,What is the background color?,Black
01/01ec457f.jpg,Is the cover denim?,Yes
01/01ee1655.jpg,What is the hook's color?,Grey
01/01ee1655.jpg,How many hooks are present?,Two
01/01ee1655.jpg,What shape is the hook?,Curved
01/01f2b368.jpg,What color are the garbage bags?,Black
01/01f2b368.jpg,What word is written in cursive?,Presto
01/01f2b368.jpg,What number is on the package?,30
01/01f72641.jpg,What color is the bag?,Black
01/01f72641.jpg,What shape is the bag's flap?,Trapezoid
01/01f72641.jpg,Is there a handle?,Yes
01/01f72641.jpg,How many straps are visible?,Two
01/01f72641.jpg,What color is the material on the flap?,Pink
01/01fd4349.jpg,What color is the gemstone?,Red
01/01fd4349.jpg,What is the chain's material?,Gold
01/01fd4349.jpg,What shape is the pendant?,Round
02/02011464.jpg,What is the case's background color?,Brown
02/02011464.jpg,What word is above 'Boss'?,Girl
02/02011464.jpg,What shape is the case?,Rectangle
02/0202b754.jpg,What is the primary gemstone color?,Red
02/0202b754.jpg,What is the material of the band?,Gold
02/0202b754.jpg,Is the gemstone shape round?,Yes
02/0202b754.jpg,What is imprinted on the band?,10k
02/0202b754.jpg,Is the band curved?,Yes
02/02054a0e.jpg,What is the color of the rubber bands?,Tan
02/02054a0e.jpg,What brand is displayed on the package?,Amazonbasics
02/02054a0e.jpg,Is the product packaged?,Yes
02/020633e1.jpg,Is this accessory folded?,Yes
02/020633e1.jpg,What is the main color?,Pink
02/020633e1.jpg,Is this a tie?,Yes
02/020633e1.jpg,Are there any patterns?,Yes
02/020633e1.jpg,What shape is the bottom?,Triangle
02/02070037.jpg,What color is the bag?,Grey
02/02070037.jpg,How many buckles are visible?,Two
02/02070037.jpg,Is the bag a handbag or backpack?,Handbag
02/02070037.jpg,What is the strap's color?,Black
02/02070037.jpg,Are there any pockets present?,Yes
02/02080a76.jpg,What color is the clock's border?,Black
02/02080a76.jpg,What is displayed instead of numbers?,Zodiac
02/02080a76.jpg,What is the brand's name?,Solimo
02/020e71f6.jpg,What color is the bag?,Black
02/020e71f6.jpg,Are there studs visible?,Yes
02/020e71f6.jpg,What is the bag's material?,Metallic
02/021be97c.jpg,What color is the holder?,White
02/021be97c.jpg,What shape is the holder?,Trapezoid
02/021be97c.jpg,Is holder empty?,Yes
02/02274980.jpg,What is the band's color?,White
02/02274980.jpg,What shape are center diamonds?,Rectangle
02/02274980.jpg,Are there side diamonds?,Yes
02/022b360e.jpg,What color is the lamp?,Pink
02/022b360e.jpg,What material is the base?,Wood
02/022b360e.jpg,What is the base shape?,Round
02/02302bca.jpg,How many earrings?,Two
02/02302bca.jpg,What shape are the diamonds?,Square
02/02302bca.jpg,What is the earrings' color?,Silver
02/023553b8.jpg,What color is the duvet?,Chestnut
02/023553b8.jpg,What is next to the bed?,Nightstand
02/023553b8.jpg,How many shams are visible?,Three
02/02363b17.jpg,What color is the right side?,Black
02/02363b17.jpg,What brand logo is displayed?,Motorola
02/02363b17.jpg,What is the case's pattern?,Leather
02/023a55d3.jpg,How many lightbulbs are visible?,Four
02/023a55d3.jpg,What color are the lightbulbs?,Amber
02/023a55d3.jpg,What shape are the lightbulbs?,Teardrop
02/023df2da.jpg,What color is the lampshade?,White
02/023df2da.jpg,What is the lamp's shape?,Cylindrical
02/023df2da.jpg,What is the base color?,Blue
02/0245c69c.jpg,What color are the towels?,White
02/0245c69c.jpg,How many stacks are there?,One
02/0245c69c.jpg,What is the material?,Cotton
02/02467f36.jpg,What color are the flowers?,White
02/02467f36.jpg,What is the background color?,Black
02/02467f36.jpg,Is it a floral design?,Yes
02/024e7c50.jpg,Is the case multicolored?,Yes
02/024e7c50.jpg,What is the color of the sky?,Blue
02/024e7c50.jpg,Is there a tree present?,Yes
02/0250de2b.jpg,What color are the headphones?,Pink
02/0250de2b.jpg,What is written below the headphones?,Music
02/0250de2b.jpg,What color is the phone screen?,Orange
02/025306d0.jpg,What shape are the earrings?,Round
02/025306d0.jpg,What color is the metal?,Gold
02/025306d0.jpg,How many earrings are present?,Two
02/0256efe6.jpg,What shape is the central gemstone?,Square
02/0256efe6.jpg,What is the necklace's color?,Blue
02/0256efe6.jpg,What metal is it?,Silver
02/02581940.jpg,What color are the soles?,White
02/02581940.jpg,What type of footwear is this?,Shoes
02/02581940.jpg,What is the shoe's main color?,Grey
02/02581940.jpg,Is the shoe laced?,No
02/02581940.jpg,What material is the upper made of?,Knit
02/02657259.jpg,What letter is displayed?,N
02/02657259.jpg,What color is the case's border?,Black
02/02657259.jpg,Is the design denim?,Yes
02/02664d5d.jpg,What animal is featured?,Lion
02/02664d5d.jpg,What is the case's pattern?,Geometric
02/02664d5d.jpg,What color is the nose?,Red
02/026e9bc3.jpg,What is the subject holding?,Camera
02/026e9bc3.jpg,What color is the bow?,Red
02/026e9bc3.jpg,What's on the girl's head?,Bun
02/0270b820.jpg,What color is the dress?,Pink
02/0270b820.jpg,What design is printed on the case?,Floral
02/0270b820.jpg,What color is the background?,Blue
02/02793c72.jpg,What is the material of the shoes?,Leather
02/02793c72.jpg,What is the shoe style?,Slip-on
02/02793c72.jpg,What color are the shoes?,Tan
02/027bb49b.jpg,What is the background color?,Black
02/027bb49b.jpg,What instrument is drawn?,Guitar
02/027bb49b.jpg,What color is the guitar?,White
02/027e0da8.jpg,Is the case colorful?,Yes
02/027e0da8.jpg,What color is the bottom rectangle?,Black
02/027e0da8.jpg,What is the shape of the case?,Rectangle
02/0280e0b9.jpg,What pattern is on the sandal?,Snake
02/0280e0b9.jpg,What is the sole made of?,Cork
02/0280e0b9.jpg,What kind of shoe is this?,Sandal
02/028b19d4.jpg,What color are the speakers?,Silver
02/028b19d4.jpg,How many speakers are shown?,Two
02/028b19d4.jpg,Are there cables attached?,Yes
02/028c2c72.jpg,What color is the phone's border?,Black
02/028c2c72.jpg,What shape is the green object?,Triangle
02/028c2c72.jpg,Is the screen protector transparent?,Yes
02/028d2576.jpg,What color is the front panel?,White
02/028d2576.jpg,Is the appliance on a base?,Yes
02/028d2576.jpg,What color is the heater grid?,Black
02/02987381.jpg,What is the background color?,Black
02/02987381.jpg,What shape is the object near the upper right?,Star
02/02987381.jpg,Is there a moon visible?,Yes
02/029b8a0e.jpg,What is the boot's material?,Tweed
02/029b8a0e.jpg,What shape is the toe?,Round
02/029b8a0e.jpg,How many straps are visible?,Four
02/029cf2cb.jpg,What color is the backpack?,Black
02/029cf2cb.jpg,What is on the backpack?,Zipper
02/029cf2cb.jpg,What shape is the patch?,Square
02/029dd37e.jpg,Are there any balls?,Yes
02/029dd37e.jpg,What is the case's color?,Pink
02/029dd37e.jpg,What is the item?,Case
02/02a2df3f.jpg,Is the case rectangular?,Yes
02/02a2df3f.jpg,What animal is printed?,Peacock
02/02a2df3f.jpg,What color is the bird's neck?,Blue
02/02a3c9cc.jpg,What shape is the lever?,Straight
02/02a3c9cc.jpg,What is the primary color?,Silver
02/02a3c9cc.jpg,Is there a keyhole?,Yes
02/02a3c9cc.jpg,How many handles shown?,Two
02/02a3c9cc.jpg,What part is uninstalled?,Latch
02/02ab37f1.jpg,What color are the circles?,Red
02/02ab37f1.jpg,Is the case glossy?,No
02/02ab37f1.jpg,What shape is the case?,Rectangle
02/02ae9e53.jpg,What color is the word?,Red
02/02ae9e53.jpg,What object is visible?,Phone
02/02ae9e53.jpg,What brand logo is present?,Apple
02/02b2526f.jpg,What color is the cushion?,Garnet
02/02b2526f.jpg,Is this a cushion or a chair?,Cushion
02/02b2526f.jpg,How many sections are visible?,Two
02/02b25d6c.jpg,What is the pattern's color?,White
02/02b25d6c.jpg,What shape are the designs?,Leaves
02/02b25d6c.jpg,What is the background color?,Black
02/02b7295f.jpg,How many boxes are shown?,Three
02/02b7295f.jpg,What shape is decorating the sides?,Triangle
02/02b7295f.jpg,What color are the boxes?,Brown
02/02b7295f.jpg,Is the lid covering the box?,Yes
02/02b7295f.jpg,What is the material of the box?,Fabric
02/02c0ef5b.jpg,What pattern is the shoe?,Plaid
02/02c0ef5b.jpg,What material is inside?,Shearling
02/02c0ef5b.jpg,What color are the ties?,Dark
02/02c77204.jpg,What is the color of the strainers?,Silver
02/02c77204.jpg,How many strainers are visible?,Three
02/02c77204.jpg,What shape are the strainer heads?,Round
02/02c7a6be.jpg,What color is the bracelet?,Silver
02/02c7a6be.jpg,What shape is the clasp?,Treble
02/02c7a6be.jpg,What is inscribed?,Music
02/02c89fdd.jpg,What color is the phone case?,Gold
02/02c89fdd.jpg,How many cameras are visible?,One
02/02c89fdd.jpg,What is the case's material?,Plastic
02/02c94a76.jpg,What color is the cable?,Pink
02/02c94a76.jpg,Is the background color white?,Yes
02/02c94a76.jpg,What is the shape of the cable?,Curved
02/02cb4486.jpg,What shape are the stones?,Square
02/02cb4486.jpg,What color is the ring?,Silver
02/02cb4486.jpg,Is the band complete?,Yes
02/02ce0d25.jpg,What word is displayed?,KISS
02/02ce0d25.jpg,What color is the case mostly?,Black
02/02ce0d25.jpg,What material is suggested?,Hard
02/02dc86cc.jpg,How many drawers?,Four
02/02dc86cc.jpg,What color is it?,White
02/02dc86cc.jpg,Are there handles?,Yes
02/02e58678.jpg,What shape are the design's segments?,Circles
02/02e58678.jpg,Is the cover glossy or matte?,Glossy
02/02e58678.jpg,What is the dominant color?,Rainbow
02/02eb0854.jpg,What color are the chairs?,Beige
02/02eb0854.jpg,What shape is the rug's pattern?,Circles
02/02eb0854.jpg,How many plants are visible?,Three
02/02f2b4c8.jpg,What letter is printed?,M
